Replicon Name	Replicon Accession	Start	Stop	Strand	GeneID	Locus	Locus tag	Protein product	Length	COG(s)	Protein name
chr	NC_000913.3	51609	52430	-	944939	rsmA	b0051	NP_414593.1	273	-	16S rRNA m(6)2A1518,m(6)2A1519 dimethyltransferase
chr	NC_000913.3	59687	60346	-	946262	rluA	b0058	NP_414600.1	219	-	23S rRNA pseudouridine(746) and tRNA pseudouridine(32) synthase
chr	NC_000913.3	90094	91035	+	944806	rsmH	b0082	NP_414624.1	313	-	16S rRNA m(4)C1402 methyltransferase
chr	NC_000913.3	668248	668715	-	945239	rlmH	b0636	NP_415169.1	155	-	23S rRNA m(3)psi1915 methyltransferase
chr	NC_000913.3	842332	843258	+	944938	rlmF	b0807	NP_415328.4	308	-	23S rRNA m(6)A1618 methyltransferase
chr	NC_000913.3	898518	899645	+	947260	rlmC	b0859	NP_415380.1	375	-	23S rRNA m(5)U747 methyltransferase
chr	NC_000913.3	1007844	1009952	+	945564	rlmL	b0948	NP_415468.1	702	-	fused 23S rRNA m(2)G2445 methyltransferase and 23S rRNA m(7)G2069 methyltransferase
chr	NC_000913.3	1028779	1029969	-	946691	rlmI	b0967	NP_415487.4	396	-	23S rRNA m(5)C1962 methyltransferase
chr	NC_000913.3	1144940	1145899	+	945637	rluC	b1086	NP_415604.1	319	-	23S rRNA pseudouridine(955/2504/2580) synthase
chr	NC_000913.3	1194298	1194951	-	945701	rluE	b1135	NP_415653.4	217	-	23S rRNA pseudouridine(2457) synthase
chr	NC_000913.3	1326852	1327727	+	945840	rluB	b1269	NP_415785.1	291	-	23S rRNA pseudouridine(2605) synthase
chr	NC_000913.3	1506781	1508742	+	945993	rlhA	b1435	NP_415952.2	653	-	23S rRNA 5-hydroxycytidine C2501 synthase
chr	NC_000913.3	1906251	1907060	-	946340	rlmA	b1822	NP_416336.1	269	-	23S rRNA m(1)G745 methyltransferase
chr	NC_000913.3	1920223	1921662	+	946348	rsmF	b1835	NP_416349.2	479	-	16S rRNA m(5)C1407 methyltransferase
chr	NC_000913.3	2279788	2280483	-	945378	rsuA	b2183	NP_416688.1	231	-	16S rRNA pseudouridine(516) synthase
chr	NC_000913.3	2643129	2644283	-	946249	rlmN	b2517	NP_417012.1	384	-	23S rRNA m(2)A2503 methyltransferase/tRNA m(2)A37 methyltransferase
chr	NC_000913.3	2735031	2736011	-	947087	rluD	b2594	NP_417085.1	326	-	23S rRNA pseudouridine(1911/1915/1917) synthase
chr	NC_000913.3	2913699	2915000	-	947243	rlmD	b2785	NP_417265.1	433	-	23S rRNA m(5)U1939 methyltransferase
chr	NC_000913.3	2940143	2941243	-	947283	rlmM	b2806	NP_417286.1	366	-	23S rRNA 2\'-O-ribose C2498 methyltransferase
chr	NC_000913.3	3091134	3091865	+	945816	rsmE	b2946	NP_417421.4	243	-	16S rRNA m(3)U1498 methyltransferase
chr	NC_000913.3	3234739	3235875	-	947589	rlmG	b3084	NP_417555.4	378	-	23S rRNA m(2)G1835 methyltransferase
chr	NC_000913.3	3292475	3293335	-	947664	rsmI	b3146	NP_417615.1	286	-	16S rRNA 2\'-O-ribose C1402 methyltransferase
chr	NC_000913.3	3327035	3327664	-	947689	rlmE	b3179	NP_417646.1	209	-	23S rRNA 2\'-O-ribose U2552 methyltransferase
chr	NC_000913.3	3435207	3436496	+	947789	rsmB	b3289	NP_417747.1	429	-	16S rRNA m(5)C967 methyltransferase
chr	NC_000913.3	3604393	3604989	+	947977	rsmD	b3465	NP_417922.1	198	-	16S rRNA m(2)G966 methyltransferase
chr	NC_000913.3	3642380	3643132	-	948005	rsmJ	b3497	NP_417954.1	250	-	16S rRNA m(2)G1516 methyltransferase
